time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-05T01:13:22.180Z,33.5166667,-116.7368333,3.99,0.59,ml,24,37,0.04861,0.17,ci,ci39043400,2019-09-05T01:17:22.238Z,"7km SW of Anza, CA",earthquake,0.23,0.64,0.148,21,automatic,ci,ci
2019-09-05T01:13:13.410Z,33.2778333,-117.2713333,12.14,1,ml,13,251,0.4309,0.24,ci,ci39043392,2019-09-05T01:17:00.348Z,"6km SE of Camp Pendleton North, CA",earthquake,2.82,31.61,0.226,14,automatic,ci,ci
2019-09-05T01:08:00.080Z,33.2233333,-116.735,11.89,0.6,ml,18,61,0.02357,0.19,ci,ci39043360,2019-09-05T01:11:48.361Z,"3km SE of Lake Henshaw, CA",earthquake,0.42,0.73,0.122,11,automatic,ci,ci
2019-09-05T01:03:46.300Z,33.9403333,-117.6623333,21.95,1.39,ml,11,191,0.1054,0.32,ci,ci39043352,2019-09-05T01:07:31.081Z,"8km SSE of Chino, CA",earthquake,2.01,2.77,0.444,35,automatic,ci,ci
2019-09-05T01:02:41.640Z,35.6531667,-117.5073333,2.72,1.01,ml,18,78,0.05475,0.18,ci,ci39043344,2019-09-05T01:06:15.582Z,"16km ENE of Ridgecrest, CA",earthquake,0.32,0.45,0.181,12,automatic,ci,ci
2019-09-05T01:02:11.100Z,35.7866667,-117.5913333,5.97,0.8,ml,14,131,0.02944,0.17,ci,ci39043336,2019-09-05T01:05:58.639Z,"17km W of Searles Valley, CA",earthquake,0.41,0.69,0.161,9,automatic,ci,ci
2019-09-05T00:58:12.700Z,35.6718333,-117.4823333,2.62,1.55,ml,27,61,0.04822,0.19,ci,ci39043328,2019-09-05T01:09:37.410Z,"13km SSW of Searles Valley, CA",earthquake,0.27,0.37,0.135,25,automatic,ci,ci
2019-09-05T00:57:33.650Z,33.5181667,-116.7378333,3.89,0.89,ml,33,42,0.04711,0.16,ci,ci39043320,2019-09-05T01:01:22.956Z,"7km SW of Anza, CA",earthquake,0.18,0.44,0.144,27,automatic,ci,ci
2019-09-05T00:56:51.900Z,33.5183333,-116.7371667,3.69,0.59,ml,21,40,0.04694,0.09,ci,ci39043312,2019-09-05T01:00:36.691Z,"7km SW of Anza, CA",earthquake,0.16,0.44,0.101,18,automatic,ci,ci
2019-09-05T00:56:00.960Z,35.6605,-117.4528333,4.73,0.81,ml,16,101,0.02418,0.16,ci,ci39043304,2019-09-05T00:59:46.253Z,"13km SSW of Searles Valley, CA",earthquake,0.36,0.52,0.109,8,automatic,ci,ci
2019-09-05T00:53:47.200Z,35.6963333,-117.5928333,1.41,1.08,ml,17,79,0.07661,0.2,ci,ci39043296,2019-09-05T00:57:33.501Z,"11km NE of Ridgecrest, CA",earthquake,0.34,0.52,0.193,14,automatic,ci,ci
2019-09-05T00:43:06.790Z,32.8565,-116.1726667,8.48,1.04,ml,16,90,0.09054,0.16,ci,ci39043280,2019-09-05T00:46:46.082Z,"22km NW of Ocotillo, CA",earthquake,0.42,1.69,0.209,12,automatic,ci,ci
2019-09-05T00:41:27.750Z,38.8269997,-122.8519974,1.82,1.19,md,18,103,0.003847,0.03,nc,nc73265435,2019-09-05T01:11:03.369Z,"10km WNW of The Geysers, CA",earthquake,0.24,0.51,0.15,4,automatic,nc,nc
2019-09-05T00:32:39.750Z,35.6051667,-117.485,6.34,1.28,ml,18,69,0.008356,0.21,ci,ci39043264,2019-09-05T00:36:26.015Z,"17km E of Ridgecrest, CA",earthquake,0.4,0.57,0.195,18,automatic,ci,ci
